,CAGR,Vol,Sharpe,MDD,Calmar,2008_MDD,2020_MDD,2022_MDD,CAGR_vs_IC,MDD_vs_IC,Sharpe_vs_IC
080. Piecewise 3-Phase Linear Sizer,0.19082757634742298,0.1940785746595338,0.9832490612742084,-0.2500550848606287,0.7631421550726836,-0.20097666627484,-0.17258010792060025,-0.1840416905666466,-0.0006920878655567453,0.0022825512287938388,0.001273397749537386
081. Inverted VIX Power Sizer,0.18198094211169225,0.19075467598391044,0.954005143900335,-0.2500126190552245,0.7278870274603821,-0.20097666627483995,-0.17258010792060027,-0.1840416905666468,-0.009538722101287478,0.0023250170341980736,-0.027970519624336054
082. Cubic Smooth S-Curve Sizer,0.1427361798550717,0.15708817004275336,0.9086373583461085,-0.25499833527246873,0.55975337918405,-0.12898698694271224,-0.09167300463591746,-0.14892681964254673,-0.048783484357908025,-0.002660699183046178,-0.07333830517856255
083. Exponential Sentiment Risk Budget,0.17627908469481057,0.17801164086675697,0.990267174868394,-0.24032902846782633,0.733490605852508,-0.20097666627483973,-0.16359034591218882,-0.18404169056664574,-0.01524057951816915,0.012008607621596223,0.008291511343722968
084. Dynamic Threshold (78/22) Sizer,0.17205429765424873,0.18679894546358614,0.9210667502819941,-0.314831945026876,0.5464956792728296,-0.1265157391194349,-0.14680404062307428,-0.21819546044432217,-0.01946536655873099,-0.06249430893745345,-0.06090891324267689
085. Asymmetric Dual Step Sizer,0.1729785729720137,0.18639979015653438,0.9279976808275918,-0.3101033338674822,0.5578094592363634,-0.11947819072898526,-0.1468040406230744,-0.2196832021245296,-0.018541091240966034,-0.05776569777805962,-0.05397798269707921
086. Rapid Greed Reversal 20d Delta,0.190769538688075,0.19490886313600206,0.978762769525577,-0.25233763608942256,0.7560090585158321,-0.20097666627484018,-0.17258010792060102,-0.18404169056664657,-0.0007501255249047212,0.0,-0.0032128939990940797
087. Rapid Fear Recovery Momentum Surge,0.19151966421297972,0.1950350414240872,0.981975663524671,-0.25233763608942256,0.7589817641990972,-0.20097666627484018,-0.17258010792060102,-0.18404169056664657,0.0,0.0,0.0
088. 5-day EMA Trend Confirmation,0.187262576443036,0.19301704355618854,0.9701867409886145,-0.2493057806331409,0.7511361187352376,-0.20097666627483932,-0.17258010792060038,-0.18404169056664604,-0.004257087769943713,0.0030318554562816513,-0.011788922536056567
089. Dual Momentum & Sentiment Confirmation,0.1734246727944806,0.1808169378067222,0.9591174084579217,-0.25233763608942295,0.687272320855945,-0.20097666627484062,-0.15459009390205664,-0.18404169056664577,-0.01809499141849913,-3.885780586188048e-16,-0.022858255066749322
090. Extreme Panic Exhaustion Rebound,0.19064970000575632,0.19577741545946267,0.973808442400405,-0.25233763608942394,0.7555341444912065,-0.23858103753675358,-0.17258010792060038,-0.18404169056664674,-0.000869964207223406,-1.3877787807814457e-15,-0.008167221124266044
091. Prolonged Greed Squeeze Shaver,0.18863338316366662,0.19268096734310267,0.9789933368342053,-0.2467196175687995,0.7645658055994062,-0.20097666627484093,-0.17258010792060036,-0.1840416905666455,-0.0028862810493130997,0.005618018520623047,-0.0029823266904657197
092. Sentiment Acceleration Multiplier,0.1899860933737676,0.1939348755848422,0.979638617349425,-0.25233763608942367,0.7529043083626262,-0.20097666627484018,-0.17258010792060074,-0.1840416905666464,-0.0015335708392121283,-1.1102230246251565e-15,-0.0023370461752459937
093. Adaptive Multi-Week Wave Filter,0.17482185681786078,0.18656585415038698,0.9370517322904136,-0.29009027109200436,0.6026463974809231,-0.12651573911943492,-0.14680404062307428,-0.19021992104255628,-0.016697807395118947,-0.0377526350025818,-0.04492393123425742
094. Pension Master Strategy Meta-Governor,0.17811320496317662,0.18660556610179635,0.9544903117520781,-0.2865150543468588,0.6216539140297686,-0.12659370402476827,-0.14680404062307434,-0.18376867025150764,-0.013406459249803104,-0.034177418257436254,-0.027485351772592925
095. Triple-Asset Hybrid Risk Budget (GLD/SHY),0.18965603456172397,0.19400362920565323,0.9775901375570629,-0.2523376360894234,0.7515963036703478,-0.20097666627484018,-0.17258010792060052,-0.1840416905666467,-0.0018636296512557493,-8.326672684688674e-16,-0.004385525967608106
096. Canary Asset x F&G Dual Defense,0.16831375441011054,0.1843103075745594,0.913208580817013,-0.2788634129252418,0.6035705890726956,-0.12166354919912378,-0.1468040406230743,-0.16618000978569067,-0.023205909802869185,-0.026525776835819248,-0.06876708270765808
097. Volatility Target Sentiment Parity,0.15865402141848484,0.16814096761973227,0.9435774259209504,-0.24597452440894793,0.6450018423644258,-0.2009766662748399,-0.15211139954003422,-0.18404169056664602,-0.03286564279449489,0.006363111680474626,-0.03839823760372063
098. Optimized 78/24 Adaptive Allocator,0.16953468441840758,0.18543280650692834,0.9142647820091815,-0.3110752823015781,0.5449956781009968,-0.12644234485296116,-0.14680404062307434,-0.2193470649922417,-0.021984979794572146,-0.05873764621215555,-0.06771088151548954
099. Golden Balance 77/22 Overlay,0.17325169373234273,0.18672103289314418,0.9278638354121058,-0.30598090876201467,0.5662173317718138,-0.1265157391194347,-0.1468040406230745,-0.20380666103295603,-0.018267970480636997,-0.05364327267259211,-0.05411182811256521
100. Grand Master Ensemble Engine,0.17127380725799068,0.18504043248225982,0.9256020695607217,-0.29196525572373305,0.586623935212536,-0.1264423448529611,-0.14680404062307437,-0.19743868245850885,-0.02024585695498904,-0.039627619634310496,-0.056373593963949364
